x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (2.91, 5.562] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (2.91, 5.562] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (2.91, 5.562] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (2.91, 5.562] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (2.91, 5.562] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (5.014, 9.005] y: (2.91, 5.562] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (5.014, 9.005] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (-2.403, 0.259] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
x: (9.005, 12.996] y: (0.259, 2.91] class: 1
